174589,7101,,18.85615478,-3.3178048,84.745762710000051,6.08,0.299,,0,Aql,8
187642,7557,Altair,19.84630057,8.86738491,5.142974697,0.76,0.221,alf,0,Aql,0
188512,7602,Alshain,19.92187948,6.40793334,13.70801919,3.71,0.855,bet,0,Aql,0
186791,7525,Tarazed,19.77099171,10.61326869,141.2429379,2.72,1.507,gam,0,Aql,0
182640,7377,,19.42493129,3.11457923,15.372790159999992,3.36,0.319,del,0,Aql,0
176411,7176,,18.99371922,15.06847757,47.12535344,4.02,1.082,eps,0,Aql,0
177724,7235,,19.09017012,13.86370983,25.523226139999984,2.99,0.014,zet,0,Aql,0
187929,7570,,19.8745455,1.00567827,359.7122302,3.87,0.630,eta,0,Aql,0
191692,7710,,20.18840688,-0.82147569,88.02816901,3.24,-0.066,the,0,Aql,0
184930,7447,,19.61202126,-1.28655047,94.250706879999939,4.36,-0.079,iot,0,Aql,0
184915,7446,,19.61484682,-7.02747069,446.4285714,4.93,-0.046,kap,0,Aql,0
177756,7236,,19.10415275,-4.88233456,38.38771593,3.43,-0.096,lam,0,Aql,0
184406,7429,,19.56811881,7.37931918,33.89830508,4.45,1.176,mu,0,Aql,0
182835,7387,,19.44196935,0.33857566,3571.428571,4.64,0.576,nu,0,Aql,0
187691,7560,,19.85041673,10.4160539,19.39111887,5.12,0.563,omi,0,Aql,0
187259,7544,,19.81168001,11.81592014,174.82517479999998,5.75,0.546,pi,0,Aql,0
192425,7724,,20.23794044,15.19746767,47.080979279999994,4.94,0.072,rho,0,Aql,0
185507,7474,,19.65323339,5.39778241,209.2050209,5.18,-0.001,sig,0,Aql,0
190327,7669,,20.06897411,7.27793427,161.55088850000013,5.51,1.063,tau,0,Aql,0
186689,7519,,19.76108771,7.61315784,54.112554109999984,5.89,0.180,ups,0,Aql,0
188728,7610,,19.93728685,11.42370978,63.131313129999988,5.28,0.014,phi,0,Aql,0
186203,7497,,19.70944646,11.8266084,230.41474649999992,5.28,0.575,chi,0,Aql,0
186547,7511,,19.74283071,13.30280916,248.13895779999999,6.25,-0.041,psi,0,Aql,0
181383,7332,,19.33140012,11.53491074,85.3970965,6.03,0.087,ome,2,Aql,0
180868,7315,,19.296944,11.59539126,129.53367880000002,5.28,0.196,ome,0,Aql,0
